date,forecast
1961-01-01,449.6346000531537
1961-02-01,428.5320223226218
1961-03-01,468.3097705731403
1961-04-01,500.46363716894103
1961-05-01,517.5896890778855
1961-06-01,580.8183187173624
1961-07-01,668.0469483568365
1961-08-01,661.6131632563026
1961-09-01,567.0362299584065
1961-10-01,520.7563114536699
1961-11-01,459.07680042524134
1961-12-01,504.25414119945003
1962-01-01,523.4357887725437
1962-02-01,504.06140225687085
1962-03-01,543.876667236339
1962-04-01,581.3815989453738
1962-05-01,599.9339359109784
1962-06-01,666.0380001664658
1962-07-01,756.1420644219509
1962-08-01,750.2892271351232
1962-09-01,657.8027724419229
1962-10-01,614.2775260899181
1962-11-01,553.2393441068355
1962-12-01,600.5675447173797
